Ticker;Company;Sector;Industry;Price;Market Cap;Currency;Exchange;Avg Volume;Avg Dollar Volume;Liquidity
6481.T;THK CO LTD;INDUSTRIALS;Specialty Industrial Machinery;7702.0;863192481792.0;JPY;JPX;1063503.0;8191100106.0;HOCH
NLMK.ME;NOVOLIPETSK STEEL;MATERIALS;Steel;138.0;827065368576.0;RUB;MCX;;;UNBEKANNT
AMD;Advanced Micro Devices, Inc.;SEMICONDUCTOR;Semiconductors;506.99;826698170368.0;USD;NMS;37910643.0;19220316895.0;HOCH
002594.SZ;BYD COMPANY LIMITED;CONSUMER CYCLICAL;Auto Manufacturers;83.3;759462559744.0;CNY;SHZ;46988035.0;3914103316.0;HOCH
6324.T;HARMONIC DRIVE SYSTEMS;INDUSTRIALS;Specialty Industrial Machinery;7830.0;741240995840.0;JPY;JPX;1864918.0;14602307940.0;HOCH
ASML;ASML Holding N.V. - New York Re;SEMICONDUCTOR;Semiconductor Equipment & Materials;1732.8;667851751424.0;USD;NMS;1862253.0;3226911998.0;HOCH
INTC;Intel Corporation;SEMICONDUCTOR;Semiconductors;128.12;643931111424.0;USD;NMS;134774574.0;17267318421.0;HOCH
V;Visa Inc.;FINANCIALS;Credit Services;333.185;633632456704.0;USD;NYQ;7709388.0;2568652441.0;HOCH
6268.T;NABTESCO CORP;INDUSTRIALS;Specialty Industrial Machinery;5296.0;620609208320.0;JPY;JPX;1240998.0;6572325408.0;HOCH
ASML.AS;ASML HOLDING;SEMICONDUCTOR;Semiconductor Equipment & Materials;1553.8;598862004224.0;EUR;AMS;740568.0;1150694558.0;HOCH
JNJ;Johnson & Johnson;PHARMA;Drug Manufacturers - General;240.74;579513417728.0;USD;NYQ;7831632.0;1885387088.0;HOCH
XOM;Exxon Mobil Corporation;ENERGY;Oil & Gas Integrated;136.46;565619523584.0;USD;NYQ;19177916.0;2617018417.0;HOCH
CSCO;Cisco Systems, Inc.;TECHNOLOGY;Communication Equipment;119.23;469937258496.0;USD;NMS;23422370.0;2792649175.0;HOCH
AMAT;Applied Materials, Inc.;SEMICONDUCTOR;Semiconductor Equipment & Materials;572.66;454648954880.0;USD;NMS;7696403.0;4407422142.0;HOCH
LRCX;Lam Research Corporation;SEMICONDUCTOR;Semiconductor Equipment & Materials;362.02;452731699200.0;USD;NMS;10145162.0;3672751547.0;HOCH
CAT;Caterpillar, Inc.;INDUSTRIALS;Farm & Heavy Construction Machinery;978.68;450769846272.0;USD;NYQ;2633346.0;2577203063.0;HOCH
ORCL;Oracle Corporation;SOFTWARE;Software - Infrastructure;156.165;449828749312.0;USD;NYQ;26627209.0;4158238093.0;HOCH
MA;Mastercard Incorporated;FINANCIALS;Credit Services;497.12;439247208448.0;USD;NYQ;3682848.0;1830817398.0;HOCH
COST;Costco Wholesale Corporation;CONSUMER DEFENSIVE;Discount Stores;964.37;427571249152.0;USD;NMS;2077198.0;2003187435.0;HOCH
ABBV;AbbVie Inc.;PHARMA;Drug Manufacturers - General;235.69;416415416320.0;USD;NYQ;6161837.0;1452283363.0;HOCH
BAC;Bank of America Corporation;FINANCIALS;Banks - Diversified;57.725;409650692096.0;USD;NYQ;36060243.0;2081577527.0;HOCH
GE;GE Aerospace;DEFENSE;Aerospace & Defense;365.6425;382034116608.0;USD;NYQ;5749432.0;2102236690.0;HOCH
ARM;Arm Holdings plc;SEMICONDUCTOR;Semiconductors;345.51;369031905280.0;USD;NMS;11631422.0;4018772615.0;HOCH
UNH;UnitedHealth Group Incorporated;HEALTHCARE;Healthcare Plans;405.115;367902916608.0;USD;NYQ;7780740.0;3152094485.0;HOCH
MS;Morgan Stanley;FINANCIALS;Capital Markets;221.27;349005840384.0;USD;NYQ;5961638.0;1319131640.0;HOCH
KO;Coca-Cola Company (The);CONSUMER DEFENSIVE;Beverages - Non-Alcoholic;81.105;348952854528.0;USD;NYQ;15685146.0;1272143766.0;HOCH
CVX;Chevron Corporation;ENERGY;Oil & Gas Integrated;171.8;342156476416.0;USD;NYQ;10389735.0;1784956473.0;HOCH
HD;Home Depot, Inc. (The);CONSUMER CYCLICAL;Home Improvement Retail;342.57;341582249984.0;USD;NYQ;4652070.0;1593659620.0;HOCH
GS;Goldman Sachs Group, Inc. (The);FINANCIALS;Capital Markets;1076.59;317602037760.0;USD;NYQ;2120982.0;2283428011.0;HOCH
KLAC;KLA Corporation;SEMICONDUCTOR;Semiconductor Equipment & Materials;235.5;307627819008.0;USD;NMS;10793956.0;2541976638.0;HOCH
NFLX;Netflix, Inc.;COMMUNICATION;Entertainment;72.535;305430298624.0;USD;NMS;40412324.0;2931307921.0;HOCH
MRK;Merck & Company, Inc.;PHARMA;Drug Manufacturers - General;121.42;299886084096.0;USD;NYQ;10034935.0;1218441808.0;HOCH
3350.T;METAPLANET INC;CONSUMER CYCLICAL;Restaurants;232.0;297245409280.0;JPY;JPX;26402857.0;6125462824.0;HOCH
AZN;AstraZeneca PLC;PHARMA;Drug Manufacturers - General;184.315;285847158784.0;USD;NYQ;1964353.0;362059723.0;HOCH
0992.HK;LENOVO GROUP;TECHNOLOGY;Computer Hardware;22.92;284314796032.0;HKD;HKG;161012724.0;3690411634.0;HOCH
RIO.AX;RIO TINTO FPO [RIO];MATERIALS;Other Industrial Metals & Mining;173.92;282831093760.0;AUD;ASX;1313049.0;228365482.0;HOCH
GEV;GE Vernova Inc.;INDUSTRIALS;Specialty Industrial Machinery;1047.96;281607798784.0;USD;NYQ;2697775.0;2827160289.0;HOCH
SNDK;Sandisk Corporation;TECHNOLOGY;Computer Hardware;1867.0;276483571712.0;USD;NMS;14353533.0;26798046111.0;HOCH
TXN;Texas Instruments Incorporated;SEMICONDUCTOR;Semiconductors;302.685;275471433728.0;USD;NMS;8006212.0;2423360279.0;HOCH
DELL;Dell Technologies Inc.;TECHNOLOGY;Computer Hardware;421.9301;272626941952.0;USD;NYQ;8810687.0;3717494047.0;HOCH
PLTR;Palantir Technologies Inc.;SOFTWARE;Software - Infrastructure;113.285;271579496448.0;USD;NMS;44216511.0;5009067449.0;HOCH
SAAB-B.ST;SAAB AB ser. B;DEFENSE;Aerospace & Defense;491.0;264829304832.0;SEK;STO;1496872.0;734964152.0;HOCH
WFC;Wells Fargo & Company;FINANCIALS;Banks - Diversified;84.4;258279997440.0;USD;NYQ;16526309.0;1394820480.0;HOCH
KOG.OL;KONGSBERG GRUPPEN;DEFENSE;Aerospace & Defense;290.8;255790350336.0;NOK;OSL;1568723.0;456184648.0;HOCH
RTX;RTX Corporation;DEFENSE;Aerospace & Defense;186.49;251142995968.0;USD;NYQ;5411348.0;1009162289.0;HOCH
IBM;International Business Machines;TECHNOLOGY;Information Technology Services;263.48;247640997888.0;USD;NYQ;8379191.0;2207749245.0;HOCH
C;Citigroup, Inc.;FINANCIALS;Banks - Diversified;144.01;245620129792.0;USD;NYQ;12268696.0;1766814911.0;HOCH
BABA;Alibaba Group Holding Limited;CONSUMER CYCLICAL;Internet Retail;100.39;240849059840.0;USD;NYQ;11114853.0;1115820093.0;HOCH
LIN;Linde plc;MATERIALS;Specialty Chemicals;519.03;239972122624.0;USD;NMS;2221585.0;1153069263.0;HOCH
AXP;American Express Company;FINANCIALS;Credit Services;342.565;233741172736.0;USD;NYQ;3101498.0;1062464662.0;HOCH
PANW;Palo Alto Networks, Inc.;SOFTWARE;Software - Infrastructure;285.73;232869953536.0;USD;NMS;8297980.0;2370981825.0;HOCH
MRVL;Marvell Technology, Inc.;SEMICONDUCTOR;Semiconductors;264.43;231522516992.0;USD;NMS;41970769.0;11098330447.0;HOCH
SHEL;Shell PLC;ENERGY;Oil & Gas Integrated;77.3075;214296887296.0;USD;NYQ;7638595.0;590520683.0;HOCH
STX;Seagate Technology Holdings PLC;TECHNOLOGY;Computer Hardware;954.96;214138683392.0;USD;NMS;4107224.0;3922234631.0;HOCH
WDC;Western Digital Corporation;TECHNOLOGY;Computer Hardware;613.905;211583123456.0;USD;NMS;8015943.0;4921027487.0;HOCH
NVO;Novo Nordisk A/S;PHARMA;Drug Manufacturers - General;47.515;210342035456.0;USD;NYQ;15478200.0;735446673.0;HOCH
9992.HK;POP MART;CONSUMER CYCLICAL;Leisure;158.1;208809541632.0;HKD;HKG;25723197.0;4066837446.0;HOCH
SIE.DE;SIEMENS AG                    N;INDUSTRIALS;Specialty Industrial Machinery;271.4;207008546816.0;EUR;GER;1200769.0;325888707.0;HOCH
BHP;BHP Group Limited;MATERIALS;Other Industrial Metals & Mining;80.16;203634065408.0;USD;NYQ;2754866.0;220830059.0;HOCH
ANET;Arista Networks, Inc.;TECHNOLOGY;Computer Hardware;161.6;203481776128.0;USD;NYQ;9290612.0;1501362899.0;HOCH
QCOM;QUALCOMM Incorporated;SEMICONDUCTOR;Semiconductors;192.75;203158503424.0;USD;NMS;21083125.0;4063772344.0;HOCH
APH;Amphenol Corporation;TECHNOLOGY;Electronic Components;162.415;199808532480.0;USD;NYQ;9761527.0;1585418408.0;HOCH
ADI;Analog Devices, Inc.;SEMICONDUCTOR;Semiconductors;410.125;199766573056.0;USD;NMS;4193761.0;1719966230.0;HOCH
TMUS;T-Mobile US, Inc.;COMMUNICATION;Telecom Services;183.165;198222004224.0;USD;NMS;5748509.0;1052925651.0;HOCH
TM;Toyota Motor Corporation;CONSUMER CYCLICAL;Auto Manufacturers;167.26;198053429248.0;USD;NYQ;468588.0;78376029.0;HOCH
MCD;McDonald's Corporation;CONSUMER CYCLICAL;Restaurants;275.75;195921985536.0;USD;NYQ;3920185.0;1080991014.0;HOCH
PEP;Pepsico, Inc.;CONSUMER DEFENSIVE;Beverages - Non-Alcoholic;142.98;195445211136.0;USD;NMS;7292595.0;1042695233.0;HOCH
ORSTED.CO;ORSTED A/S;UTILITIES;Utilities - Renewable;147.3;194592440320.0;DKK;CPH;1556529.0;229276722.0;HOCH
VZ;Verizon Communications Inc.;COMMUNICATION;Telecom Services;45.875;191553765376.0;USD;NYQ;24348712.0;1116997163.0;HOCH
AMGN;Amgen Inc.;PHARMA;Drug Manufacturers - General;353.78;190938005504.0;USD;NMS;2753154.0;974010822.0;HOCH
TJX;TJX Companies, Inc. (The);CONSUMER CYCLICAL;Apparel Retail;166.125;183519019008.0;USD;NYQ;5318701.0;883569204.0;HOCH
NEE;NextEra Energy, Inc.;UTILITIES;Utilities - Regulated Electric;87.535;182563471360.0;USD;NYQ;10669004.0;933911265.0;HOCH
DIS;Walt Disney Company (The);COMMUNICATION;Entertainment;102.175;177428070400.0;USD;NYQ;9174164.0;937370207.0;HOCH
TTE;TotalEnergies SE;ENERGY;Oil & Gas Integrated;78.725;175016345600.0;USD;NYQ;1668980.0;131390450.0;HOCH
GLW;Corning Incorporated;TECHNOLOGY;Electronic Components;202.45;174210301952.0;USD;NYQ;13046664.0;2641297127.0;HOCH
BA;Boeing Company (The);DEFENSE;Aerospace & Defense;220.605;173903429632.0;USD;NYQ;6585332.0;1452757166.0;HOCH
RMS.PA;HERMES INTL;CONSUMER CYCLICAL;Luxury Goods;1629.0;170621140992.0;EUR;PAR;105921.0;172545309.0;HOCH
CRWD;CrowdStrike Holdings, Inc.;SOFTWARE;Software - Infrastructure;670.04;170568597504.0;USD;NMS;3435067.0;2301632293.0;HOCH
SAN.MC;BANCO SANTANDER S.A.;FINANCIALS;Banks - Diversified;11.862;170213654528.0;EUR;MCE;27296232.0;323787904.0;HOCH
VWS.CO;Vestas Wind Systems A/S;INDUSTRIALS;Specialty Industrial Machinery;170.85;167638646784.0;DKK;CPH;2511341.0;429062610.0;HOCH
DE;Deere & Company;INDUSTRIALS;Farm & Heavy Construction Machinery;606.96;163944333312.0;USD;NYQ;1271016.0;771455871.0;HOCH
SHEL.L;SHELL PLC ORD EUR0.07;ENERGY;Oil & Gas Integrated;2946.5;163354345472.0;GBp;LSE;10792170.0;31799128905.0;HOCH
BLK;BlackRock, Inc.;FINANCIALS;Asset Management;985.235;160444055552.0;USD;NYQ;701896.0;691532506.0;HOCH
ABT;Abbott Laboratories;HEALTHCARE;Medical Devices;91.33;159079792640.0;USD;NYQ;12716856.0;1161430458.0;HOCH
SCHW;Charles Schwab Corporation (The;FINANCIALS;Capital Markets;91.4585;159058722816.0;USD;NYQ;11455635.0;1047715194.0;HOCH
APP;Applovin Corporation;COMMUNICATION;Advertising Agencies;469.07;157579149312.0;USD;NMS;4872056.0;2285335308.0;HOCH
SAP.DE;SAP SE                        I;SOFTWARE;Software - Application;134.86;157457006592.0;EUR;GER;3103547.0;418544348.0;HOCH
WELL;Welltower Inc.;REAL ESTATE;REIT - Healthcare Facilities;222.94;157376561152.0;USD;NYQ;3279004.0;731021152.0;HOCH
ABBN.SW;ABB LTD N;INDUSTRIALS;Electrical Equipment & Parts;86.58;157138518016.0;CHF;EBS;2533481.0;219348785.0;HOCH
GILD;Gilead Sciences, Inc.;PHARMA;Drug Manufacturers - General;126.56;157133078528.0;USD;NMS;6790243.0;859373154.0;HOCH
T;AT&T Inc.;COMMUNICATION;Telecom Services;22.515;156441837568.0;USD;NYQ;41866475.0;942623685.0;HOCH
ETN;Eaton Corporation, PLC;INDUSTRIALS;Specialty Industrial Machinery;402.425;156261629952.0;USD;NYQ;2547038.0;1024991767.0;HOCH
UNP;Union Pacific Corporation;INDUSTRIALS;Railroads;261.05;154988822528.0;USD;NYQ;2939691.0;767406336.0;HOCH
AIR.PA;AIRBUS SE;DEFENSE;Aerospace & Defense;195.1;153588203520.0;EUR;PAR;1394029.0;271975058.0;HOCH
AIR.DE;Airbus SE                     A;DEFENSE;Aerospace & Defense;195.04;153540968448.0;EUR;GER;300311.0;58572657.0;HOCH
ALV.DE;Allianz SE                    v;FINANCIALS;Insurance - Diversified;404.5;153421299712.0;EUR;GER;662893.0;268140218.0;HOCH
UBER;Uber Technologies, Inc.;SOFTWARE;Software - Application;74.14;150919299072.0;USD;NYQ;17737861.0;1315085015.0;HOCH
SHOP;Shopify Inc.;SOFTWARE;Software - Application;112.49;145973166080.0;USD;NMS;10045783.0;1130050130.0;HOCH
HON;Honeywell International Inc.;INDUSTRIALS;Conglomerates;227.89;144403202048.0;USD;NMS;4386759.0;999698509.0;HOCH
BKNG;Booking Holdings Inc. Common St;CONSUMER CYCLICAL;Travel Services;184.735;143147171840.0;USD;NMS;7714243.0;1425090681.0;HOCH
ISRG;Intuitive Surgical, Inc.;HEALTHCARE;Medical Instruments & Supplies;403.58;142933032960.0;USD;NMS;2300672.0;928505206.0;HOCH
IBE.MC;ACCIONES IBERDROLA;UTILITIES;Utilities - Diversified;21.15;139386257408.0;EUR;MCE;11752185.0;248558713.0;HOCH
BX;Blackstone Inc.;FINANCIALS;Asset Management;113.99;139325636608.0;USD;NYQ;5869506.0;669064989.0;HOCH
PFE;Pfizer, Inc.;PHARMA;Drug Manufacturers - General;24.18;137784066048.0;USD;NYQ;37348525.0;903087334.0;HOCH
ENR.DE;Siemens Energy AG             N;INDUSTRIALS;Specialty Industrial Machinery;159.86;136016650240.0;EUR;GER;2704859.0;432398760.0;HOCH
DHR;Danaher Corporation;HEALTHCARE;Diagnostics & Research;188.37;133322752000.0;USD;NYQ;4550709.0;857217054.0;HOCH
BTI;British American Tobacco  Indus;CONSUMER DEFENSIVE;Tobacco;61.67;133193490432.0;USD;NYQ;4097717.0;252706207.0;HOCH
CB;Chubb Limited;FINANCIALS;Insurance - Property & Casualty;336.76;130615771136.0;USD;NYQ;1611027.0;542529453.0;HOCH
COP;ConocoPhillips;ENERGY;Oil & Gas E&P;107.05;130418376704.0;USD;NYQ;8200203.0;877831731.0;HOCH
PGR;Progressive Corporation (The);FINANCIALS;Insurance - Property & Casualty;221.205;128785555456.0;USD;NYQ;2993746.0;662231584.0;HOCH
DTE.DE;DEUTSCHE TELEKOM AG           N;COMMUNICATION;Telecom Services;26.44;127917318144.0;EUR;GER;7711645.0;203895894.0;HOCH
CRM;Salesforce, Inc.;SOFTWARE;Software - Application;153.495;125712400384.0;USD;NYQ;15009425.0;2303871690.0;HOCH
LOW;Lowe's Companies, Inc.;CONSUMER CYCLICAL;Home Improvement Retail;222.37;124749570048.0;USD;NYQ;2847401.0;633176560.0;HOCH
COF;Capital One Financial Corporati;FINANCIALS;Credit Services;201.07;123863040000.0;USD;NYQ;4669037.0;938803270.0;HOCH
VRTX;Vertex Pharmaceuticals Incorpor;BIOTECH;Biotechnology;479.43;121681936384.0;USD;NMS;1281846.0;614555428.0;HOCH
PH;Parker-Hannifin Corporation;INDUSTRIALS;Specialty Industrial Machinery;964.39;121596461056.0;USD;NYQ;747775.0;721146732.0;HOCH
SYK;Stryker Corporation;HEALTHCARE;Medical Devices;315.575;120979079168.0;USD;NYQ;2495506.0;787519306.0;HOCH
MO;Altria Group, Inc.;CONSUMER DEFENSIVE;Tobacco;72.25;120649637888.0;USD;NYQ;8908003.0;643603217.0;HOCH
ENB;Enbridge Inc;ENERGY;Oil & Gas Midstream;55.22;120583716864.0;USD;NYQ;4439409.0;245144165.0;HOCH
VRT;Vertiv Holdings, LLC;INDUSTRIALS;Electrical Equipment & Parts;312.03;119853465600.0;USD;NYQ;5866324.0;1830469078.0;HOCH
SBUX;Starbucks Corporation;CONSUMER CYCLICAL;Restaurants;104.37;118950486016.0;USD;NMS;7603685.0;793596603.0;HOCH
SONY;Sony Group Corporation;TECHNOLOGY;Consumer Electronics;20.095;118356869120.0;USD;NYQ;6375837.0;128122445.0;HOCH
BBVA.MC;BANCO BILBAO VIZCAYA ARGENTARIA;FINANCIALS;Banks - Diversified;21.32;118335201280.0;EUR;MCE;12244845.0;261060095.0;HOCH
RR.L;ROLLS-ROYCE HOLDINGS PLC ORD SH;DEFENSE;Aerospace & Defense;1419.2;117622603776.0;GBp;LSE;34149023.0;48464293442.0;HOCH
RIO.L;RIO TINTO PLC ORD 10P;MATERIALS;Other Industrial Metals & Mining;7163.0;116488445952.0;GBp;LSE;2635638.0;18879074994.0;HOCH
LMT;Lockheed Martin Corporation;DEFENSE;Aerospace & Defense;496.5;114474835968.0;USD;NYQ;1359459.0;674971394.0;HOCH
BMY;Bristol-Myers Squibb Company;PHARMA;Drug Manufacturers - General;55.385;113100111872.0;USD;NYQ;11037685.0;611322184.0;HOCH
HWM;Howmet Aerospace Inc.;DEFENSE;Aerospace & Defense;277.02;110837768192.0;USD;NYQ;2406166.0;666556105.0;HOCH
EQIX;Equinix, Inc.;REAL ESTATE;REIT - Specialty;1099.47;108434399232.0;USD;NMS;554006.0;609112977.0;HOCH
SO;Southern Company (The);UTILITIES;Utilities - Regulated Electric;95.79;107961622528.0;USD;NYQ;5595183.0;535962580.0;HOCH
ISP.MI;INTESA SANPAOLO;FINANCIALS;Banks - Regional;6.093;106193477632.0;EUR;MIL;58726424.0;357820101.0;HOCH
FTNT;Fortinet, Inc.;SOFTWARE;Software - Infrastructure;144.65;105977585664.0;USD;NMS;6404437.0;926401812.0;HOCH
PBR;Petroleo Brasileiro S.A. Petrob;ENERGY;Oil & Gas Integrated;16.3099;105106972672.0;USD;NYQ;21160754.0;345129782.0;HOCH
PWR;Quanta Services, Inc.;INDUSTRIALS;Engineering & Construction;700.185;105069862912.0;USD;NYQ;1150195.0;805349286.0;HOCH
IFX.DE;INFINEON TECHNOLOGIES AG      N;SEMICONDUCTOR;Semiconductors;79.56;103388192768.0;EUR;GER;5804838.0;461832911.0;HOCH
MDT;Medtronic plc.;HEALTHCARE;Medical Devices;80.7;103299645440.0;USD;NYQ;10219650.0;824725755.0;HOCH
CDNS;Cadence Design Systems, Inc.;SOFTWARE;Software - Application;373.78;103094501376.0;USD;NMS;2449306.0;915501597.0;HOCH
GSK;GSK plc;PHARMA;Drug Manufacturers - General;51.445;103060807680.0;USD;NYQ;4012274.0;206411436.0;HOCH
TRP.TO;TC ENERGY CORP.;ENERGY;Oil & Gas Midstream;98.37;102478610432.0;CAD;TOR;5350685.0;526346883.0;HOCH
MAR;Marriott International;CONSUMER CYCLICAL;Lodging;385.22;101578129408.0;USD;NMS;1474362.0;567953730.0;HOCH
BATS.L;BRITISH AMERICAN TOBACCO PLC OR;CONSUMER DEFENSIVE;Tobacco;4678.0;101034409984.0;GBp;LSE;4436969.0;20756140982.0;HOCH
CNR.TO;CANADIAN NATIONAL RAILWAY CO.;INDUSTRIALS;Railroads;165.65;100483284992.0;CAD;TOR;1670911.0;276786407.0;HOCH
PBR-A;Petroleo Brasileiro S.A. Petrob;ENERGY;Oil & Gas Integrated;14.675;100472594432.0;USD;NYQ;10268801.0;150694655.0;HOCH
DUK;Duke Energy Corporation (Holdin;UTILITIES;Utilities - Regulated Electric;126.275;98443517952.0;USD;NYQ;3359890.0;424270110.0;HOCH
ENEL.MI;ENEL;UTILITIES;Utilities - Diversified;9.867;97912840192.0;EUR;MIL;23036649.0;227302616.0;HOCH
BP;BP p.l.c.;ENERGY;Oil & Gas Integrated;37.735;97170022400.0;USD;NYQ;11021862.0;415909963.0;HOCH
NOW;ServiceNow, Inc.;SOFTWARE;Software - Application;93.59;96520118272.0;USD;NYQ;28825012.0;2697732873.0;HOCH
PNC;PNC Financial Services Group, I;FINANCIALS;Banks - Regional;240.07;96403628032.0;USD;NYQ;2069904.0;496921853.0;HOCH
CEG;Constellation Energy Corporatio;UTILITIES;Utilities - Independent Power Producers;266.625;95212322816.0;USD;NMS;3518690.0;938170721.0;HOCH
1913.HK;PRADA;CONSUMER CYCLICAL;Luxury Goods;36.78;94113538048.0;HKD;HKG;2880557.0;105946886.0;HOCH
USB;U.S. Bancorp;FINANCIALS;Banks - Regional;60.24;93837762560.0;USD;NYQ;9099732.0;548167856.0;HOCH
GD;General Dynamics Corporation;DEFENSE;Aerospace & Defense;346.545;93716226048.0;USD;NYQ;1370087.0;474796799.0;HOCH
SPOT;Spotify Technology S.A.;COMMUNICATION;Internet Content & Information;453.515;93251788800.0;USD;NYQ;2117054.0;960115745.0;HOCH
MNST;Monster Beverage Corporation;CONSUMER DEFENSIVE;Beverages - Non-Alcoholic;95.09;92998787072.0;USD;NMS;5297430.0;503732619.0;HOCH
WMB;Williams Companies, Inc. (The);ENERGY;Oil & Gas Midstream;75.77;92678807552.0;USD;NYQ;6463293.0;489723711.0;HOCH
